condition_id,argmax_accuracy,bin,confidence_calibration_gap,count,display_name,framing,lower_probability_inclusive,mean_argmax_confidence,mean_probability_yes,observed_yes_rate,probability_calibration_gap,probability_field,upper_probability_exclusive,upper_probability_inclusive,weight
baseline.robust_2B.no_manual,,1,,0,Baseline 2B — no manual,true_false,0.0,,,,,boolean_prob_true,0.1,,0.0
baseline.robust_2B.no_manual,0.9523809523809523,2,0.12465953683692088,21,Baseline 2B — no manual,true_false,0.1,0.8277214155440314,0.17227858445596858,0.047619047619047616,0.12465953683692096,boolean_prob_true,0.2,,0.007
baseline.robust_2B.no_manual,0.9611650485436893,3,0.22231642647558836,103,Baseline 2B — no manual,true_false,0.2,0.738848622068101,0.261151377931899,0.038834951456310676,0.22231642647558836,boolean_prob_true,0.3,,0.034333333333333334
baseline.robust_2B.no_manual,0.8868778280542986,4,0.24367988679990937,221,Baseline 2B — no manual,true_false,0.3,0.6431979412543892,0.3568020587456109,0.11312217194570136,0.24367988679990954,boolean_prob_true,0.4,,0.07366666666666667
baseline.robust_2B.no_manual,0.8532338308457711,5,0.30665186098642927,402,Baseline 2B — no manual,true_false,0.4,0.5465819698593418,0.45341803014065807,0.14676616915422885,0.3066518609864292,boolean_prob_true,0.5,,0.134
baseline.robust_2B.no_manual,0.22564102564102564,6,0.32258394148389014,585,Baseline 2B — no manual,true_false,0.5,0.5482249671249158,0.5482249671249158,0.22564102564102564,0.32258394148389014,boolean_prob_true,0.6,,0.195
baseline.robust_2B.no_manual,0.32125984251968503,7,0.3294150307719797,635,Baseline 2B — no manual,true_false,0.6,0.6506748732916647,0.6506748732916647,0.32125984251968503,0.3294150307719797,boolean_prob_true,0.7,,0.21166666666666667
baseline.robust_2B.no_manual,0.48661417322834644,8,0.26145971121813505,635,Baseline 2B — no manual,true_false,0.7,0.7480738844464815,0.7480738844464815,0.48661417322834644,0.26145971121813505,boolean_prob_true,0.8,,0.21166666666666667
baseline.robust_2B.no_manual,0.6576576576576577,9,0.18612547483588382,333,Baseline 2B — no manual,true_false,0.8,0.8437831324935415,0.8437831324935415,0.6576576576576577,0.18612547483588382,boolean_prob_true,0.9,,0.111
baseline.robust_2B.no_manual,0.7230769230769231,10,0.20131804972298684,65,Baseline 2B — no manual,true_false,0.9,0.9243949727999099,0.9243949727999099,0.7230769230769231,0.20131804972298684,boolean_prob_true,,1.0,0.021666666666666667
baseline.robust_2B.with_manual,0.9435665914221218,1,0.015504180451085592,886,Baseline 2B — with manual,yes_no,0.0,0.9280624109710363,0.07193758902896376,0.056433408577878104,0.015504180451085654,verdict_prob_belongs,0.1,,0.29533333333333334
baseline.robust_2B.with_manual,0.7379032258064516,2,0.11889893735976487,1240,Baseline 2B — with manual,yes_no,0.1,0.8568021631662165,0.14319783683378343,0.2620967741935484,0.11889893735976495,verdict_prob_belongs,0.2,,0.41333333333333333
baseline.robust_2B.with_manual,0.3364341085271318,3,0.42196881361703703,645,Baseline 2B — with manual,yes_no,0.2,0.7584029221441688,0.24159707785583112,0.6635658914728683,0.42196881361703714,verdict_prob_belongs,0.3,,0.215
baseline.robust_2B.with_manual,0.1641025641025641,4,0.49927269566091603,195,Baseline 2B — with manual,yes_no,0.3,0.6633752597634801,0.33662474023652,0.8358974358974359,0.4992726956609159,verdict_prob_belongs,0.4,,0.065
baseline.robust_2B.with_manual,0.0,5,0.5629980569997171,29,Baseline 2B — with manual,yes_no,0.4,0.5629980569997171,0.43700194300028294,1.0,0.5629980569997171,verdict_prob_belongs,0.5,,0.009666666666666667
